epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,train/angle_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,val/angle_loss,lr/pg0,lr/pg1,lr/pg2
51,477.445,0.99974,0.8512,1.46594,0.00997,0.97949,0.5,0.4975,0.398,1.45515,0.95158,1.17027,0.00425,0.000841835,0.000841835,0.000841835
52,486.996,1.07681,0.81479,1.44907,0.01538,0.54194,1,0.74625,0.44775,1.40227,0.93407,1.19767,0.00314,0.000825332,0.000825332,0.000825332
53,494.247,0.93506,0.77404,1.29483,0.00602,0.54194,1,0.74625,0.44775,1.40227,0.93407,1.19767,0.00314,0.000808828,0.000808828,0.000808828
54,509.818,1.00713,0.78753,1.51369,0.00315,0.54194,1,0.74625,0.44775,1.40227,0.93407,1.19767,0.00314,0.000792325,0.000792325,0.000792325
55,517.667,1.07814,0.82443,1.39362,0.00399,0.4889,1,0.74625,0.44775,1.34237,0.89127,1.19594,0.00283,0.000775822,0.000775822,0.000775822
56,532.706,0.98961,0.79696,1.59937,0.00572,0.4889,1,0.74625,0.44775,1.34237,0.89127,1.19594,0.00283,0.000759318,0.000759318,0.000759318
57,547.981,1.00636,0.81949,1.43018,0.00694,0.42339,1,0.74625,0.42288,1.31739,0.85893,1.15914,0.00344,0.000742815,0.000742815,0.000742815
58,552.059,0.8668,0.75277,1.32032,0.00354,0.42339,1,0.74625,0.42288,1.31739,0.85893,1.15914,0.00344,0.000726312,0.000726312,0.000726312
59,556.528,0.98718,0.77752,1.38892,0.00807,0.42339,1,0.74625,0.42288,1.31739,0.85893,1.15914,0.00344,0.000709809,0.000709809,0.000709809
60,568.578,0.93027,0.78944,1.52866,0.01449,0.41099,1,0.66333,0.41458,1.30196,0.8034,1.13642,0.00381,0.000693305,0.000693305,0.000693305
61,573.178,0.91391,0.75247,1.31665,0.00829,0.41099,1,0.66333,0.41458,1.30196,0.8034,1.13642,0.00381,0.000676802,0.000676802,0.000676802
62,577.164,1.01979,0.78352,1.6247,0.01205,0.41099,1,0.66333,0.41458,1.30196,0.8034,1.13642,0.00381,0.000660299,0.000660299,0.000660299
63,581.674,0.98813,0.78379,1.47252,0.00954,0.42733,1,0.74625,0.398,1.31166,0.77448,1.14853,0.00357,0.000643795,0.000643795,0.000643795
64,585.673,0.89836,0.70632,1.46429,0.00784,0.42733,1,0.74625,0.398,1.31166,0.77448,1.14853,0.00357,0.000627292,0.000627292,0.000627292
65,597.543,0.99157,0.74522,1.43127,0.00352,0.48034,1,0.74625,0.398,1.35056,0.80056,1.17896,0.00301,0.000610789,0.000610789,0.000610789
66,602.477,1.03005,0.77808,1.49711,0.00596,0.48034,1,0.74625,0.398,1.35056,0.80056,1.17896,0.00301,0.000594286,0.000594286,0.000594286
